 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|gaid|raw_score|mutation|simulation_cell|extinct|origin                    |generation|relaxed|pairing|description
  2|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   2|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  3|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   3|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  4|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   4|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  5|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   5|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  6|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   6|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  7|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   7|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  8|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   8|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
  9|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |   9|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 10|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  10|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 11|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  11|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 12|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  12|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 13|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  13|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 14|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  14|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 15|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  15|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 16|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  16|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 17|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  17|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 18|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  18|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 19|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  19|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 20|17h|liljav|Na6    |lennardjones|      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  20|         |        |               |      0|StartingCandidateUnrelaxed|         0|      0|       |           
 42|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  42|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 3 14      
 44|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  44|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 14 42     
 46|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  46|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 18 42     
 47|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  46|         |       1|               |      0|MirrorMutation            |          |      0|       | mirror    
 49|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  49|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 14 46     
 51|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  51|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 42 14     
 52|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  51|         |       1|               |      0|MirrorMutation            |          |      0|       | mirror    
 54|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  54|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 42 18     
 56|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  56|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 14 42     
 58|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  58|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 46 3      
 60|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  60|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 3 42      
 62|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  62|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 18 14     
 64|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  64|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 60 42     
 66|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  66|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 46 42     
 68|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  68|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 42 60     
 69|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  68|         |       1|               |      0|RattleMutation            |          |      0|       | rattle    
 71|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  71|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 46 42     
 73|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  73|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 42 46     
 75|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  75|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 73 46     
 77|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  77|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 18 46     
 78|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  77|         |       1|               |      0|MirrorMutation            |          |      0|       | mirror    
 80|15h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  80|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 73 77     
 82|14h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  82|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 18 77     
 84|14h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  84|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 46 73     
 86|14h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  86|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 73 77     
 88|14h|liljav|Na6    |            |      |     6|     |FFF|4096.000| 0.000|137.939|     |      |  88|         |        |               |      0|CutAndSplicePairing       |         0|      0|      1| 77 73     
