       Step     Time          Energy         fmax
GPMin:   17 18:22:46       -7.278785        0.0167
       Step     Time          Energy         fmax
GPMin:    0 18:23:00       -6.635045        0.2332
GPMin:    1 18:23:07       -6.771385        0.2296
GPMin:    2 18:23:14       -6.864652        0.2078
GPMin:    3 18:23:21       -6.932664        0.1557
GPMin:    4 18:23:28       -6.977998        0.0876
GPMin:    5 18:23:35       -7.015208        0.1230
GPMin:    6 18:23:41       -7.064729        0.1131
GPMin:    7 18:23:47       -7.111076        0.1116
GPMin:    8 18:23:53       -7.152574        0.1286
GPMin:    9 18:23:59       -7.191290        0.1339
GPMin:   10 18:24:05       -7.229447        0.1092
GPMin:   11 18:24:12       -7.251965        0.0665
GPMin:   12 18:24:17       -7.263325        0.0768
GPMin:   13 18:24:23       -7.273010        0.0460
GPMin:   14 18:24:28       -7.276959        0.0306
GPMin:   15 18:24:33       -7.278402        0.0215
GPMin:   16 18:24:39       -7.279828        0.0144
       Step     Time          Energy         fmax
GPMin:    0 18:24:53       -6.262485        0.3590
GPMin:    1 18:25:00       -6.451804        0.2182
GPMin:    2 18:25:07       -6.541626        0.1548
GPMin:    3 18:25:14       -6.615678        0.1522
GPMin:    4 18:25:20       -6.688498        0.1532
GPMin:    5 18:25:26       -6.765657        0.1575
GPMin:    6 18:25:32       -6.845093        0.1740
GPMin:    7 18:25:38       -6.918398        0.1894
GPMin:    8 18:25:45       -6.993677        0.1937
GPMin:    9 18:25:51       -7.067148        0.1630
GPMin:   10 18:25:57       -7.113697        0.1001
GPMin:   11 18:26:03       -7.134350        0.0849
GPMin:   12 18:26:09       -7.148230        0.0926
GPMin:   13 18:26:14       -7.163918        0.0556
GPMin:   14 18:26:20       -7.174881        0.0579
GPMin:   15 18:26:25       -7.185765        0.0535
GPMin:   16 18:26:31       -7.199943        0.0516
GPMin:   17 18:26:36       -7.214680        0.0613
GPMin:   18 18:26:42       -7.228347        0.0521
GPMin:   19 18:26:47       -7.237709        0.0375
GPMin:   20 18:26:53       -7.240759        0.0234
GPMin:   21 18:26:59       -7.241859        0.0254
GPMin:   22 18:27:04       -7.243574        0.0209
GPMin:   23 18:27:10       -7.244882        0.0246
GPMin:   24 18:27:15       -7.248235        0.0345
GPMin:   25 18:27:21       -7.252856        0.0457
GPMin:   26 18:27:26       -7.260339        0.0467
GPMin:   27 18:27:32       -7.268303        0.0411
GPMin:   28 18:27:38       -7.275147        0.0264
GPMin:   29 18:27:43       -7.278203        0.0204
GPMin:   30 18:27:48       -7.279220        0.0172
       Step     Time          Energy         fmax
GPMin:    0 18:28:00       -6.767778        0.4710
GPMin:    1 18:28:06       -6.950243        0.2060
GPMin:    2 18:28:13       -7.023289        0.1547
GPMin:    3 18:28:20       -7.074396        0.1134
GPMin:    4 18:28:27       -7.103066        0.0899
GPMin:    5 18:28:33       -7.126358        0.0579
GPMin:    6 18:28:39       -7.137721        0.0514
GPMin:    7 18:28:45       -7.147873        0.0384
GPMin:    8 18:28:50       -7.154464        0.0373
GPMin:    9 18:28:56       -7.161445        0.0492
GPMin:   10 18:29:03       -7.174503        0.0524
GPMin:   11 18:29:09       -7.193067        0.0622
GPMin:   12 18:29:15       -7.215651        0.0604
GPMin:   13 18:29:21       -7.233336        0.0355
GPMin:   14 18:29:27       -7.239056        0.0212
GPMin:   15 18:29:31       -7.239703        0.0149
       Step     Time          Energy         fmax
GPMin:    0 18:29:48       -6.495122        0.3886
GPMin:    1 18:29:56       -6.726994        0.2367
GPMin:    2 18:30:03       -6.845194        0.1754
GPMin:    3 18:30:10       -6.909061        0.1310
GPMin:    4 18:30:16       -6.940430        0.0804
GPMin:    5 18:30:23       -6.952809        0.0595
GPMin:    6 18:30:29       -6.964534        0.0564
GPMin:    7 18:30:35       -6.976836        0.0406
GPMin:    8 18:30:41       -6.989902        0.0528
GPMin:    9 18:30:47       -7.012791        0.0624
GPMin:   10 18:30:53       -7.049260        0.0742
GPMin:   11 18:30:59       -7.096041        0.0834
GPMin:   12 18:31:05       -7.143170        0.0839
GPMin:   13 18:31:10       -7.182498        0.0972
GPMin:   14 18:31:17       -7.210827        0.0976
GPMin:   15 18:31:23       -7.235360        0.0827
GPMin:   16 18:31:29       -7.256087        0.0598
GPMin:   17 18:31:35       -7.268568        0.0508
GPMin:   18 18:31:41       -7.275194        0.0438
GPMin:   19 18:31:46       -7.278289        0.0235
GPMin:   20 18:31:52       -7.279406        0.0124
       Step     Time          Energy         fmax
GPMin:    0 18:32:05       -6.502549        0.7721
GPMin:    1 18:32:14       -6.774698        0.3159
GPMin:    2 18:32:23       -6.915077        0.2720
GPMin:    3 18:32:30       -7.033679        0.1781
GPMin:    4 18:32:36       -7.096600        0.1625
GPMin:    5 18:32:43       -7.146727        0.1344
GPMin:    6 18:32:49       -7.197016        0.1059
GPMin:    7 18:32:55       -7.231753        0.1074
GPMin:    8 18:33:01       -7.256057        0.0899
GPMin:    9 18:33:07       -7.270435        0.0471
GPMin:   10 18:33:12       -7.275672        0.0294
GPMin:   11 18:33:18       -7.277646        0.0238
GPMin:   12 18:33:24       -7.279436        0.0171
       Step     Time          Energy         fmax
GPMin:    0 18:33:35       -6.571050        0.3008
GPMin:    1 18:33:43       -6.752630        0.1805
GPMin:    2 18:33:49       -6.843378        0.1591
GPMin:    3 18:33:56       -6.917639        0.1419
GPMin:    4 18:34:02       -6.980157        0.1201
GPMin:    5 18:34:08       -7.027406        0.0822
GPMin:    6 18:34:14       -7.053622        0.0528
GPMin:    7 18:34:20       -7.066686        0.0614
GPMin:    8 18:34:26       -7.081611        0.0573
GPMin:    9 18:34:32       -7.093603        0.0427
GPMin:   10 18:34:39       -7.102326        0.0387
GPMin:   11 18:34:45       -7.114353        0.0519
GPMin:   12 18:34:51       -7.134850        0.0582
GPMin:   13 18:34:57       -7.161288        0.0771
GPMin:   14 18:35:03       -7.192333        0.0765
GPMin:   15 18:35:09       -7.215353        0.0491
GPMin:   16 18:35:15       -7.224698        0.0387
GPMin:   17 18:35:21       -7.228504        0.0441
GPMin:   18 18:35:26       -7.232223        0.0319
